SourceIP,Command,CommandData,ResponseCode,ResponseText
203.0.113.45,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
203.0.113.45,EHLO,DESKTOP-UU1VSFG,250,mail.vulncomp.com
203.0.113.45,AUTH,LOGIN,334,VXNlcm5hbWU6
203.0.113.45,AUTH,bWFyay5zbWl0aEB2dWxuY29tcC5jb20=,334,UGFzc3dvcmQ6
198.51.100.77,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
203.0.113.45,AUTH,U210aDEyM1Bhc3MxMjM=,235,2.7.0 Authentication successful
203.0.113.45,MAIL,FROM:<mark.smith@vulncomp.com>,250,2.1.0 Ok
198.51.100.77,EHLO,python-smtp,250,mail.vulncomp.com
18.44.172.16,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
192.122.4.55,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
192.122.4.55,EHLO,LAPTOP-UH0CCA4,250,mail.vulncomp.com
192.122.4.55,AUTH,LOGIN,334,VXNlcm5hbWU6
18.44.172.16,EHLO,DESKTOP-UHQ778S,250,mail.vulncomp.com
203.0.113.45,RCPT,TO:<jeffbezos@millionaire.com>,250,2.1.5 Ok
203.0.113.45,DATA,,354,End data with <CR><LF>.<CR><LF>
198.51.100.77,VRFY,root@vulncomp.com,550,5.1.1 User unknown
203.0.113.45,DATA,<MESSAGE-REDACTED>,250,2.0.0 Ok: queued as 9F3A21C4
198.51.100.77,VRFY,admin@vulncomp.com,550,5.1.1 User unknown
18.44.172.16,AUTH,LOGIN,334,VXNlcm5hbWU6
203.0.113.45,QUIT,,221,2.0.0 Bye
18.166.4.8,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
18.166.4.8,EHLO,DESKTOP-VE78AA6,250,mail.vulncomp.com
18.166.4.8,AUTH,LOGIN,334,VXNlcm5hbWU6
18.44.172.16,AUTH,bHVjaWEudmFyeUB2dWxuY29tcC5jb20=,334,UGFzc3dvcmQ6
198.51.100.77,VRFY,test@vulncomp.com,550,5.1.1 User unknown
18.44.172.16,AUTH,THVsdXZhMTk5Nw==,235,2.7.0 Authentication successful
63.9.4.481,CONNECT,,220,mail.vulncomp.com ESMTP Postfix
